	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
	(0.0744)	(0.0578)	(0.0580)	(0.139)	(0.0677)	(0.0660)
_IstaXyea_19_2007	-0.0501	-0.115	-0.105	-0.0765	-0.216**	-0.227**
	(0.108)	(0.0780)	(0.0728)	(0.117)	(0.102)	(0.108)
_IstaXyea_19_2008	-0.0895	-0.156*	-0.153*	-0.0991	-0.337***	-0.344***
	(0.116)	(0.0839)	(0.0814)	(0.210)	(0.102)	(0.0966)
_IstaXyea_19_2009	-0.0487	-0.120*	-0.123**	0.0375	-0.229*	-0.250**
	(0.0854)	(0.0635)	(0.0590)	(0.248)	(0.122)	(0.117)
_IstaXyea_19_2010	-0.0731	-0.120**	-0.0934*	0.118	-0.106	-0.120*
	(0.0802)	(0.0502)	(0.0518)	(0.216)	(0.0747)	(0.0668)
_IstaXyea_20_2007	-0.0833	-0.148**	-0.126*	-0.0793	-0.211**	-0.189*
	(0.0981)	(0.0697)	(0.0652)	(0.0825)	(0.104)	(0.102)
_IstaXyea_20_2008	-0.124	-0.202**	-0.185**	-0.164	-0.335***	-0.312***
	(0.109)	(0.0774)	(0.0796)	(0.174)	(0.0753)	(0.0691)
_IstaXyea_20_2009	-0.215**	-0.283***	-0.266***	-0.0780	-0.272***	-0.245***
	(0.0888)	(0.0703)	(0.0673)	(0.219)	(0.0697)	(0.0693)
_IstaXyea_20_2010	-0.280***	-0.325***	-0.304***	-0.156	-0.342***	-0.312***
	(0.0946)	(0.0663)	(0.0635)	(0.202)	(0.0634)	(0.0568)
_IstaXyea_21_2007	-0.0652	-0.133**	-0.137***	-0.0808	-0.178**	-0.183**
	(0.0918)	(0.0564)	(0.0482)	(0.0724)	(0.0734)	(0.0797)
_IstaXyea_21_2008	-0.106	-0.200***	-0.203***	-0.167	-0.317***	-0.318***
	(0.101)	(0.0599)	(0.0564)	(0.132)	(0.0666)	(0.0648)
_IstaXyea_21_2009	-0.205**	-0.284***	-0.282***	-0.0910	-0.253***	-0.253***
	(0.0835)	(0.0705)	(0.0628)	(0.150)	(0.0532)	(0.0545)
_IstaXyea_21_2010	-0.215***	-0.273***	-0.270***	-0.135	-0.297***	-0.310***
	(0.0741)	(0.0510)	(0.0466)	(0.132)	(0.0516)	(0.0515)
_IstaXyea_22_2007	-0.0250	-0.121	-0.119	-0.167	-0.229	-0.232
	(0.113)	(0.0801)	(0.0723)	(0.205)	(0.145)	(0.148)
_IstaXyea_22_2008	-0.0330	-0.143	-0.144	-0.0284	-0.172	-0.148
	(0.143)	(0.0949)	(0.0915)	(0.232)	(0.119)	(0.126)
_IstaXyea_22_2009	0.0178	-0.0812	-0.0854	0.0531	-0.112	-0.0707
	(0.0855)	(0.0556)	(0.0527)	(0.234)	(0.117)	(0.121)
_IstaXyea_22_2010	0.00742	-0.0615	-0.0425	0.0381	-0.101	-0.0645
	(0.0917)	(0.0688)	(0.0684)	(0.226)	(0.111)	(0.119)
_IstaXyea_23_2007	-0.0336	-0.126*	-0.106	-0.115	-0.160	-0.142
	(0.0951)	(0.0733)	(0.0645)	(0.107)	(0.113)	(0.114)
